id X Y Z
87 87418.45313 12476.81445 49.04399872
88 87421.08594 12470.83496 49.13199997
89 87333.28125 12431.82129 48.83200073
90 87329.82031 12457.26465 48.64400101
91 87347.63281 12437.34863 50.14599991
92 87441.13281 12480.3623 48.6590004
93 87367.46094 12441.12793 49.61999893
94 87371.74219 12432.87207 51.40499878
95 87387.46875 12429.48535 51.72000122
96 87345.20313 12458.18848 48.54600143
97 87441.0625 12480.44531 48.64199829
98 87387.46094 12439.98145 51.20600128
99 87409.27344 12442.02832 51.06100082
100 87440.85938 12471.30957 48.82899857
101 87413.17188 12429.84277 51.7840004
102 87432.0625 12427.92188 52.02099991
103 87439.77344 12444.67871 51.0320015
104 87362.60938 12457.07715 49.23699951
105 87384.07813 12456.22852 49.40999985
106 87403.375 12456.33301 49.64899826
107 87421.80469 12456.96973 49.75500107
108 87439.875 12457.38379 49.54100037
109 87284.125 12451.38184 50.90999985
110 87284.8125 12435.33789 50.625
111 87284.78906 12435.33203 50.74900055
112 87280.625 12454.53027 49.29100037
113 87273.86719 12470.04688 49.05799866
114 87257 12469.12793 49.25299835
115 87261.57031 12489.39355 48.95700073
116 87245.51563 12478.16895 49.3409996
117 87260.25781 12492.81738 50.35300064
118 87237.72656 12496.95117 49.41999817
119 87258.57813 12511.95703 49.75500107
120 87239.78125 12511.61523 49.68099976
121 87254.76563 12530.24414 49.11800003
122 87240.39063 12532.50391 48.77799988
123 87472.34375 12398.33301 52.32400131
124 87532.34375 12432.12305 52.18399811
125 87532.34375 12432.12598 52.18700027
126 87441.58594 12473.20215 48.77199936
127 87461.0625 12445.86621 50.54199982
128 87459.76563 12454.82422 49.3769989
129 87459.03125 12429.14746 51.05899811
130 87478.5 12450.84375 49.5870018
131 87488.01563 12448.5459 49.6570015
132 87488.07813 12448.50488 49.65100098
133 87462.34375 12420.43164 51.55199814
134 87487.88281 12419.49121 51.29199982
135 87487.92969 12431.44141 51.0340004
136 87371.85156 12478.28711 48.80400085
137 87378.64844 12469.77344 48.93999863
138 87421.04688 12470.58105 49.12200165
139 87425.28906 12472.06445 49.25500107
140 87496.14844 12432.9248 50.8219986
141 87497.24219 12419.95605 51.27600098
142 87495.96094 12446.58301 49.79999924
143 87515.75 12432.81152 51.96900177
144 87510.57031 12445.7002 49.70999908
145 87521.55469 12423.28906 51.98899841
146 87525.03125 12449.35059 49.97499847
147 87441.14844 12473.29199 48.81999969
148 87528.9375 12440.16699 50.64599991
149 87542.64063 12453.81543 50.58200073
150 87518.29688 12436.80566 50.24900055
151 87557.21875 12457.01855 50.93500137
152 87556.15625 12424.94531 51.89099884
153 87571.21094 12459.24121 51.30599976
154 87557.42969 12442.22559 51.86500168
155 87590.78125 12459.54492 51.80500031
156 87577.17188 12444.71875 52.01800156
157 87603.79688 12456.89258 51.75600052
158 87582.42969 12429.41309 52.06700134
159 87612.98438 12455.40723 51.7840004
160 87602.64063 12432.55664 52.17300034
161 87624.63281 12457.56055 51.75099945
162 87617.78906 12437.10547 51.92900085
163 87630.9375 12460.18262 51.72499847
164 87635.24219 12446.00586 52.0340004
165 87636.89844 12463.19629 51.44800186
166 87637.14063 12453.33887 52.79399872
167 87643.71094 12467.20801 50.81399918
168 87643.39063 12458.1416 51.5320015
169 87644.08594 12473.19727 51.75799942
